iter	Passed	Remaining
369	8296	14126
370	8326	14117
371	8327	14058
372	8331	14004
373	8391	14045
374	8393	13989
375	8394	13930
376	8395	13874
377	8442	13892
378	8446	13840
379	8448	13784
380	8451	13731
381	8454	13678
382	8520	13726
383	8524	13674
384	8544	13649
385	8548	13597
386	8600	13623
387	8604	13571
388	8643	13576
389	8647	13525
390	8706	13561
391	8710	13510
392	8756	13525
393	8760	13474
394	8811	13496
395	8820	13453
396	8867	13468
397	8870	13417
398	8921	13437
399	8969	13453
400	8972	13402
401	9079	13506
402	9081	13452
403	9083	13400
404	9094	13361
405	9193	13451
406	9197	13400
407	9267	13446
408	9271	13396
409	9274	13346
410	9348	13397
411	9352	13347
412	9393	13350
413	9395	13298
414	9409	13264
415	9428	13236
416	9433	13188
417	9436	13138
418	9529	13213
419	9541	13176
420	9546	13129
421	9593	13139
422	9603	13099
423	9606	13050
424	9628	13027
425	9631	12977
426	9668	12974
427	9670	12924
428	9675	12878
429	9678	12829
430	9695	12799
431	9696	12748
432	9697	12698
433	9699	12649
434	9704	12605
435	9708	12558
436	9731	12537
437	9798	12572
438	9802	12526
439	9805	12479
440	9808	12433
441	9892	12488
442	9894	12440
443	9895	12392
444	9897	12343
445	9899	12296
446	9901	12249
447	9903	12202
448	9905	12155
449	9907	12108
450	9909	12062
451	9911	12016
452	9924	11984
453	9927	11939
454	9930	11894
455	9945	11864
456	9949	11821
457	9971	11800
458	9976	11759
459	9979	11714
460	10049	11749
461	10082	11740
462	10111	11728
463	10115	11685
464	10174	11706
465	10177	11662
466	10200	11641
467	10235	11635
468	10239	11593
469	10297	11612
470	10302	11571
471	10342	11569
472	10344	11525
473	10356	11492
474	10371	11463
475	10373	11419
476	10374	11374
477	10376	11331
478	10377	11287
479	10379	481	10346	11119
482	10364	11093
483	10368	11053
484	10371	11012
485	10372	10970
486	10374	10928
487	10378	10888
488	10380	10847
489	10381	10805
490	10383	10764
491	10490	10486	10870
491	10497	10838
492	10499	10797
493	10530	10786
494	10536	10749
495	10627	10798
496	10651	10780
497	10656	10741
498	10659	10702
499	10663	10663
500	10736	10693
501	10739	10654
502	10742	10614
503	10802	10630
504	10823	10608
505	10826	10570
506	10927	10625
507	10935	10591
508	10939	10552
509	11005	10573
510	11006	10533
511	11036	10518
512	11038	10478
513	11055	10453
514	11057	10413
515	11127	10437
516	11132	10400
517	11191	10413
518	11193	10373
519	11196	10334
520	11219	10314
521	11221	10275
522	11223	10236
523	11227	10199
524	11254	10182
525	11267	10153
526	11271	10116
527	11276	10080
528	11365	10119
529	11371	10083
530	11439	10103
531	11447	10070
532	11451	10033
533	11516	10049
534	11543	10033
535	11547	9996
536	11624	10022
537	11628	9985
538	11735	10037
539	11742	10003
540	11809	10019
541	11811	9981
542	11839	9964
543	11852	9935
544	11855	9897
545	11857	9859
546	11859	9821
547	11860	9782
548	11861	9744
549	11912	9746
550	11914	9709
551	11916	9671
552	11917	9633
553	11919	9595
554	12012	9631
555	12016	9596
556	12021	9560
557	12059	9552
558	12063	9516
559	12114	9518
560	12118	9482
561	12156	9474
562	12161	9439
563	12202	9432
564	12205	9397
565	12208	9361
566	12287	9383
567	12290	9347
568	12346	9352
569	12350	9316
570	12403	9319
571	12408	9284
572	12493	9310
573	12621	9367
574	12630	9335
575	12673	9329
576	12677	9293
577	12727	9292
578	12731	9257
579	12771	9248
580	12774	9212
581	12777	9177
582	12860	9198
583	12863	9163
584	12865	9126
585	12877	9097
586	12880	9062
587	12882	9026
588	12887	8992
589	12892	8959
590	12926	8946
591	12935	8914
592	12938	8880
593	13004	8888
594	13006	8853
595	13033	8834
596	13036	8800
597	13039	8765
598	13040	8730
599	13043	8695
600	13047	8661
601	13050	8628
602	13155	8661
603	13171	8635
604	13173	8600
605	13178	8568
606	13273	8594
607	13292	8570
608	13355	8574
609	13366	8546
610	13401	8532
611	13404	8498
612	13406	8464
613	13468	8467
614	13472	8433
615	13538	8439
616	13542	8406
617	13545	8373
618	13603	8373
619	13661	8373
620	13663	8338
621	13664	8304
622	13723	8304
623	13726	8270
624	13768	8260
625	13771	8227
626	13839	8233
627	13855	8207
628	13892	8194
629	13896	8161
630	13904	8130
631	13905	8097
632	13907	8063
633	13909	8029
634	13910	7995
635	13912	7962
636	13914	7929
637	13916	7895
638	13918	7862
639	13922	7831
640	13923	7798
641	13932	7768
642	13933	7736
643	13935	7703
644	13937	7670
645	13938	7638
646	13940	7606
647	13942	7573
648	13944	7541
649	14039	7559
650	14045	7529
651	14087	7518
652	14115	7500
653	14118	7469
654	14122	7438
655	14192	7442
656	14194	7410
657	14253	7408
658	14257	7377
659	14260	7346
660	14312	7340
661	14343	7323
662	14347	7292
663	14380	7276
664	14422	7265
665	14426	7234
666	14494	7236
667	14498	7205
668	14541	7194
669	14552	7167
670	14562	7140
671	14610	7131
672	14653	7119
673	14655	7088
674	14663	7060
675	14725	7057
676	14728	7027
677	14789	7023
678	14830	7011
679	14836	6981
680	14871	6966
681	14874	6935
682	14882	6907
683	14885	6877
684	14942	6871
685	14948	6842
686	14953	6813
687	15032	6817
688	15072	6803
689	15078	6774
690	15082	6744
691	15165	6750
692	15194	6731
693	15199	6701
694	15243	6689
695	15259	6665
696	15359	6676
697	15362	6646
698	15365	6616
699	15432	6614
700	15439	6585
701	15447	6557
702	15450	6527
703	15453	6497
704	15500	6485
705	15572	6484
706	15576	6455
707	15643	6452
708	15654	6425
709	15657	6395
710	15715	6387
711	15717	6357
712	15751	6340
713	15800	6329
714	15805	6300
715	15821	6275
716	15846	6254
717	15849	6225
718	15985	6247
719	16011	6226
720	16015	6197
721	16018	6167
722	16056	6151
723	16060	6122
724	16101	6107
725	16123	6085
726	16126	6055
727	16171	6042
728	16175	6013
729	16208	5994
730	16211	5965
731	16226	5940
732	16260	5922
733	16335	5920
734	16344	5892
735	16382	5876
736	16384	5846
737	16390	5818
738	16462	5814
739	16465	5785
740	16467	5755
741	16508	5740
742	16511	5711
743	16514	5682
744	16592	5679
745	16612	5656
746	16615	5627
747	16618	5598
748	16656	5581
749	16669	5556
750	16724	5545
751	16726	5516
752	16730	5487
753	16733	5459
754	16773	5443
755	16775	5414
756	16777	5385
757	16862	5383
758	16865	5355
759	16912	5340
760	16959	5326
761	16963	5298
762	16965	5269
763	17020	5257
764	17023	5229
765	17030	5202
766	17035	5174
767	17106	5167
768	17109	5139
769	17113	5111
770	17115	5083
771	17220	5085
772	17247	5064
773	17320	5057
774	17323	5029
775	17366	5012
776	17369	4984
777	17370	4956
778	17373	4928
779	17376	4900
780	17466	4897
781	17470	4870
782	17473	4842
783	17507	4823
784	17510	4795
785	17512	4768
786	17514	4740
787	17515	4712
788	17517	4684
789	17518	4656
790	17520	4629
791	17522	4601
792	17523	4574
793	17537	4550
794	17538	4522
795	17541	4495
796	17543	4468
797	17545	4441
798	17553	4415
799	17555	4388
800	17594	4371
801	17598	4344
802	17675	4336
803	17676	4309
804	17687	4284
805	17691	4258
806	17772	4250
807	17776	4224
808	17778	4197
809	17833	4183
810	17837	4156
811	17840	4130
812	17870	4110
813	17900	4090
814	17903	4064
815	17906	4037
816	17943	4019
817	17960	3996
818	17962	3969
819	17965	3943
820	18015	3927
821	18084	3916
822	18091	3890
823	18097	3865
824	18116	3842
825	18121	3817
826	18169	3800
827	18172	3775
828	18195	3753
829	18207	3729
830	18283	3718
831	18298	3694
832	18305	3669
833	18307	3643
834	18325	3621
835	18329	3595
836	18331	3569
837	18346	3546
838	18347	3520
839	18350	3495
840	18352	3469
841	18354	3444
842	18357	3418
843	18369	3395
844	18373	3370
845	18393	3348
846	18401	3324
847	18404	3298
848	18407	3273
849	18414	3249
850	18415	3224
851	18417	3199
852	18447	3179
853	18450	3154
854	18453	3129
855	18493	3111
856	18498	3086
857	18501	3062
858	18536	3042
859	18558	3021
860	18561	2996
861	18564	2972
862	18568	2947
863	18569	2923
864	18571	2898
865	18572	2873
866	18573	2849
867	18575	2824
868	18576	2800
869	18577	2775
870	18579	2751
871	18580	2727
872	18582	2703
873	18583	2679
874	18584	2654
875	18586	2631
876	18588	2607
877	18589	2583
878	18590	2559
879	18591	2535
880	18593	2511
881	18600	2488
882	18648	2470
883	18670	2449
884	18674	2426
885	18682	2403
886	18685	2380
887	18686	2356
888	18687	2333
889	18688	2309
890	18689	2286
891	18691	2263
892	18692	2239
893	18693	2216
894	18694	2193
895	18696	2170
896	18697	2146
897	18699	2123
898	18700	2100
899	18701	2077
900	18702	2055
901	18704	2032
902	18705	2009
903	18707	1986
904	18709	1963
905	18710	1941
906	18712	1918
907	18713	1896
908	18714	1873
909	18716	1851
910	18719	1828
911	18721	1806
912	18722	1784
913	18724	1761
914	18725	1739
915	18726	1717
916	18727	1695
917	18728	1672
918	18729	1650
919	18730	1628
920	18731	1606
921	18732	1584
922	18732	1562
923	18733	1540
924	18734	1519
925	18735	1497
926	18736	1475
927	18737	1453
928	18738	1432
929	18739	1410
930	18739	1388
931	18741	1367
932	18741	1345
933	18742	1324
934	18743	1303
935	18744	1281
936	18745	1260
937	18747	1239
938	18747	1217
939	18748	1196
940	18749	1175
941	18750	1154
942	18751	1133
943	18752	1112
944	18752	1091
945	18753	1070
946	18754	1049
947	18755	1028
948	18756	1007
949	18757	987
950	18758	966
951	18759	945
952	18759	925
953	18760	904
954	18761	884
955	18761	863
956	18762	843
957	18763	822
958	18764	802
959	18764	781
960	18765	761
961	18766	741
962	18766	721
963	18767	700
964	18768	680
965	18768	660
966	18769	640
967	18770	620
968	18770	600
969	18771	580
970	18772	560
971	18773	540
972	18773	520
973	18774	501
974	18775	481
975	18775	461
976	18776	442
977	18777	422
978	18778	402
979	18778	383
980	18779	363
981	18780	344
982	18780	324
983	18781	305
984	18782	286
985	18782	266
986	18783	247
987	18784	228
988	18785	208
989	18785	189
990	18786	170
991	18787	151
992	18788	132
993	18788	113
994	18789	94
995	18790	75
996	18791	56
997	18791	37
998	18792	18
999	18793	0
